Номер заказа,Дата заказа,Товар,Артикул,Код,Тип,Количество,Цена,Скидка %,НДС %,Сумма,Себестоимость товара ед.,Себестоимость товара общая,Доставка на позицию,Комиссия на позицию,ПОЛНАЯ себестоимость,Прибыль,Маржа %,Источник себестоимости
666925387,2025-10-09 15:42:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
660949888,2025-10-04 09:52:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
674276340,2025-10-15 18:40:00.000,"Туалетный столик Аурелия 1Я 93x40x97 см, МДФ",tsi00118,495338084,product,1.0,140000.0,0.0,0,140000.0,0.0,0.0,0.0,16800.0,16800.0,123200.0,88.0,не найдена
667099091,2025-10-09 18:42:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666929234,2025-10-09 15:46:00.000,Туалетный столик Гламур слоновая кость с подсветкой 130x80x36 см,tsi00029,709204015,product,1.0,44900.0,0.0,0,44900.0,23200.0,23200.0,0.0,5388.0,28588.0,16312.0,36.33,товар
666927064,2025-10-09 15:43:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666785791,2025-10-09 13:27:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
660955434,2025-10-04 09:52:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
653926945,2025-09-27 14:51:00.000,Туалетный столик Блик темно-серый со светлыми ящиками 120x45x150 см,tsi00005,488865828,product,1.0,79000.0,0.0,0,79000.0,48500.0,48500.0,0.0,9480.0,57980.0,21020.0,26.61,товар
666994531,2025-10-09 17:01:00.000,Тумба прикроватная Киото 2Я бежевый 40х40x48см,tsi00017,592114013,product,1.0,60000.0,0.0,0,60000.0,29301.0,29301.0,0.0,7200.0,36501.0,23499.0,39.16,товар
671681755,2025-10-13 15:24:00.000,"Tokyo 402464826, 40x60x40 см, белый",tsi00144,402464826,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666927089,2025-10-09 15:43:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666785935,2025-10-09 13:28:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
671118217,2025-10-13 06:19:00.000,Комплект Туалетный столик Блик светло серый с темными ящиками 120x45x150 см,tsi00022,138785115,bundle,1.0,79000.0,0.0,0,79000.0,48500.0,48500.0,0.0,9480.0,57980.0,21020.0,26.61,основной товар (арт. tsi00022)
674129652,2025-10-15 16:25:00.000,Кресло качалка Rina зеленый 100x62x37см,tsi00014,843142698,product,1.0,54900.0,0.0,0,54900.0,30213.0,30213.0,0.0,8267.0,38480.0,16420.0,29.91,товар
666788494,2025-10-09 13:28:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
658627534,2025-10-01 23:45:00.000,"Туалетный столик Аурелия 1Я 93x40x97 см, МДФ",tsi00118,495338084,product,1.0,140000.0,0.0,0,140000.0,0.0,0.0,0.0,16800.0,16800.0,123200.0,88.0,не найдена
666924532,2025-10-09 15:44:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666789089,2025-10-09 13:27:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666926438,2025-10-09 15:44:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
667258597,2025-10-09 21:13:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
667644573,2025-10-10 09:43:00.000,"Бескаркасный диван Лаунж, обивка вельвет, зеленый 70х200х100 см",tsi00145,640817777,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666789062,2025-10-09 13:27:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666922706,2025-10-09 15:43:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666930506,2025-10-09 15:50:00.000,Тумба прикроватная Вивьен серая 50x40x40см,tsi00018,526450247,product,2.0,33000.0,0.0,0,66000.0,22467.0,44934.0,0.0,7920.0,52854.0,13146.0,19.92,товар
666789121,2025-10-09 13:28:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
667251716,2025-10-09 21:07:00.000,Комплект Туалетный столик Гламур белый без подсветки 120x45x150 см,tsi00002,694752649,bundle,1.0,75000.0,0.0,0,75000.0,47000.0,47000.0,0.0,9000.0,56000.0,19000.0,25.33,основной товар (арт. tsi00002)
666922745,2025-10-09 15:44:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
673690063,2025-10-15 09:38:00.000,"Tokyo 402464826, 40x60x40 см, белый",tsi00144,402464826,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666975474,2025-10-09 16:37:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
666944710,2025-10-09 16:07:00.000,Тумба прикроватная Вивьен серая 50x40x40см,tsi00018,526450247,product,2.0,33000.0,0.0,0,66000.0,22467.0,44934.0,0.0,7920.0,52854.0,13146.0,19.92,товар
666923694,2025-10-09 15:44:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
667261307,2025-10-09 21:12:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
667261506,2025-10-09 21:13:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
659328412,2025-10-02 17:01:00.000,Туалетный столик Гламур белый без подсветки 120x45x150 см,tsi00002,708534133,product,1.0,77000.0,0.0,0,77000.0,47000.0,47000.0,0.0,16519.0,63519.0,13481.0,17.51,товар
663392698,2025-10-06 13:44:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00149,137640051_956085500,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
667262123,2025-10-09 21:12:00.000,Ложка 30363001_004776000 розовый 1 шт,tsi00146,137640051_255146512,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
658780005,2025-10-02 07:58:00.000,"Туалетный столик Аурелия 1Я 93x40x97 см, МДФ",tsi00118,495338084,product,1.0,10.0,0.0,0,10.0,0.0,0.0,0.0,1.2,1.2,8.8,88.0,не найдена
