Номер заказа,Выручка,Себестоимость товаров,Доставка,Комиссия МП,ПОЛНАЯ себестоимость,НДС,Чистая прибыль,Рентабельность %,Количество товаров,Себестоимость доступна
672298795,69000.0,35580.0,0,8280.0,43860.0,0.0,25140.0,36.43,1,Да
664560637,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666934151,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667141459,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665715323,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664561591,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667142530,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665718126,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660330679,55000.0,24300.0,0,10631.0,34931.0,0.0,20069.0,36.49,1,Да
664562469,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667144047,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665718439,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667146131,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
669185954,115000.0,50661.0,0,13800.0,64461.0,0.0,50539.0,43.95,1,Да
665719057,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666777813,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664563365,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665713262,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666781096,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
664564227,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667145274,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666781148,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667452821,60000.0,29301.0,0,7200.0,36501.0,0.0,23499.0,39.16,1,Да
667145253,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665713370,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660952654,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667146224,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666935976,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
665713698,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666777965,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667142587,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666782197,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667085922,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667086900,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667086996,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
666937056,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
667089351,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
660953604,10.0,0.0,0,1.2,1.2,0.0,8.8,88.0,1,Да
